16, 93
17, 106
19, 120
21, 133
25, 146
33, 157
43, 166
55, 173
68, 175
82, 173
94, 165
104, 156
111, 144
115, 132
117, 118
118, 105
119, 91
25, 84
31, 77
39, 75
49, 76
58, 79
74, 78
83, 75
93, 74
102, 76
108, 82
66, 88
66, 97
66, 106
66, 116
57, 121
62, 123
67, 125
71, 123
76, 121
36, 91
42, 87
48, 87
54, 91
48, 93
41, 93
79, 91
85, 87
92, 87
97, 90
92, 92
85, 92
49, 139
56, 136
62, 135
67, 136
73, 135
79, 136
87, 138
80, 143
73, 146
68, 146
62, 146
56, 143
52, 139
62, 139
67, 140
73, 139
84, 139
73, 140
68, 141
62, 140
