19, 93
20, 107
23, 120
25, 133
30, 145
37, 156
47, 165
58, 172
71, 174
85, 172
96, 165
106, 155
114, 145
118, 132
119, 119
120, 105
120, 92
27, 84
33, 78
42, 77
51, 78
60, 82
77, 81
85, 77
94, 76
103, 77
109, 82
68, 91
68, 100
69, 109
69, 118
59, 124
64, 125
69, 127
74, 125
80, 124
38, 93
44, 90
50, 90
55, 94
49, 95
43, 95
82, 93
87, 90
94, 89
99, 92
94, 94
88, 94
51, 141
58, 138
65, 137
70, 138
75, 137
82, 138
90, 141
83, 147
76, 151
70, 151
64, 151
58, 147
54, 142
65, 142
70, 143
75, 142
87, 141
75, 142
70, 143
65, 142
