24, 146
27, 171
32, 196
37, 221
46, 244
60, 263
79, 280
100, 293
124, 296
148, 292
168, 279
186, 261
200, 240
208, 216
212, 191
215, 166
216, 140
41, 132
53, 121
70, 117
87, 119
103, 124
135, 123
151, 117
169, 113
186, 116
199, 127
119, 140
120, 157
120, 174
120, 192
102, 202
111, 205
121, 208
130, 205
139, 201
63, 144
73, 138
84, 138
95, 145
84, 148
72, 148
144, 144
154, 137
166, 137
177, 142
167, 146
155, 146
85, 231
98, 227
111, 224
121, 227
131, 224
144, 226
157, 230
144, 241
132, 246
122, 247
111, 246
98, 242
91, 232
111, 232
122, 233
131, 232
152, 231
131, 234
122, 235
111, 234
