21, 86
22, 99
24, 112
25, 125
29, 138
37, 149
47, 159
59, 167
73, 169
86, 166
97, 158
106, 148
113, 137
116, 124
117, 111
119, 98
119, 85
30, 81
35, 73
44, 70
54, 71
62, 75
79, 75
88, 71
97, 69
106, 72
112, 79
71, 84
71, 94
72, 103
72, 113
62, 118
67, 120
72, 121
77, 119
82, 117
40, 86
46, 83
52, 83
58, 87
52, 88
45, 88
84, 86
89, 82
96, 82
101, 85
96, 87
90, 87
52, 133
59, 131
67, 130
73, 131
78, 129
85, 130
92, 131
86, 138
79, 142
73, 142
67, 142
59, 139
55, 133
67, 134
73, 135
78, 133
89, 132
79, 135
73, 136
67, 135
