12, 136
15, 158
19, 180
24, 201
31, 220
43, 236
61, 247
80, 257
103, 260
126, 256
147, 247
168, 236
183, 221
191, 201
195, 178
198, 154
200, 130
23, 97
32, 84
48, 78
65, 78
80, 86
116, 85
132, 77
150, 75
167, 81
178, 94
99, 108
99, 121
99, 135
99, 148
82, 166
91, 169
101, 171
110, 168
119, 165
42, 117
51, 109
63, 108
76, 116
64, 119
52, 120
126, 115
137, 106
149, 106
160, 113
150, 117
137, 117
65, 204
78, 193
92, 188
101, 190
111, 187
125, 191
141, 201
125, 206
112, 209
102, 210
92, 210
79, 209
72, 203
92, 200
102, 200
111, 199
134, 200
111, 197
101, 197
92, 198
