138, 192
142, 236
150, 279
158, 321
173, 360
197, 394
227, 424
263, 448
303, 455
343, 448
380, 423
411, 394
434, 359
449, 320
457, 278
464, 235
467, 192
166, 165
189, 152
216, 151
243, 157
269, 168
329, 167
356, 156
384, 150
412, 152
436, 164
300, 197
300, 226
300, 256
301, 286
273, 299
286, 305
301, 311
315, 306
329, 300
199, 199
218, 189
240, 190
257, 205
238, 209
216, 208
344, 205
362, 190
384, 189
403, 199
386, 209
365, 209
240, 347
263, 339
285, 335
300, 339
316, 335
338, 340
362, 348
339, 371
318, 382
300, 384
283, 382
262, 371
252, 350
284, 351
300, 353
317, 352
351, 351
317, 357
300, 359
284, 357
